,Major,Minor,DocumentDate,SalePrice,SqFtTotLiving,ZipCode,PricePerSqFt,date
255,760.0,86.0,05/03/2019,857500,1450,98122,591.3793103448276,2019-05-03
256,535020.0,1365.0,04/15/2019,2727000,4180,98122,652.3923444976076,2019-04-15
257,684070.0,75.0,06/21/2019,922000,1230,98122,749.5934959349594,2019-06-21
258,721740.0,635.0,02/26/2019,670000,1500,98122,446.6666666666667,2019-02-26
259,982820.0,1250.0,05/12/2019,1125000,2060,98122,546.1165048543689,2019-05-12
260,515770.0,140.0,05/10/2019,1240000,2760,98122,449.27536231884056,2019-05-10
261,118900.0,365.0,07/02/2019,910000,950,98122,957.8947368421053,2019-07-02
262,155620.0,95.0,03/08/2019,1295000,2790,98122,464.15770609319,2019-03-08
263,721740.0,1055.0,02/07/2019,504000,1060,98122,475.47169811320754,2019-02-07
264,794260.0,1630.0,03/04/2019,1362500,2400,98122,567.7083333333334,2019-03-04
265,303720.0,140.0,04/19/2019,725000,1430,98122,506.993006993007,2019-04-19
266,982820.0,1880.0,04/18/2019,1131000,1650,98122,685.4545454545455,2019-04-18
267,794260.0,1955.0,01/07/2019,945000,2250,98122,420.0,2019-01-07
268,118600.0,195.0,06/06/2019,810000,1500,98122,540.0,2019-06-06
269,684070.0,275.0,04/05/2019,1147500,2480,98122,462.7016129032258,2019-04-05
270,684070.0,275.0,04/05/2019,1147500,720,98122,1593.75,2019-04-05
271,34500.0,320.0,06/14/2019,885000,2100,98122,421.42857142857144,2019-06-14
272,341660.0,375.0,05/06/2019,1008000,2430,98122,414.81481481481484,2019-05-06
273,341660.0,375.0,05/06/2019,1008000,1630,98122,618.4049079754601,2019-05-06
274,794260.0,1950.0,02/28/2019,725000,1360,98122,533.0882352941177,2019-02-28
275,982670.0,1785.0,02/08/2019,765000,1940,98122,394.3298969072165,2019-02-08
276,118600.0,130.0,05/20/2019,1026000,2550,98122,402.3529411764706,2019-05-20
277,632100.0,120.0,03/06/2019,2000000,3080,98122,649.3506493506494,2019-03-06
278,982920.0,430.0,02/01/2019,1099950,1100,98122,999.9545454545455,2019-02-01
279,600300.0,700.0,05/03/2019,1953165,4150,98122,470.6421686746988,2019-05-03
280,912610.0,110.0,05/30/2019,1100000,2980,98122,369.1275167785235,2019-05-30
281,982670.0,724.0,04/29/2019,760000,1810,98122,419.88950276243094,2019-04-29
282,536620.0,665.0,06/17/2019,845000,1330,98122,635.3383458646616,2019-06-17
283,754480.0,104.0,06/24/2019,640000,1500,98122,426.6666666666667,2019-06-24
284,983930.0,851.0,06/10/2019,1050000,1540,98122,681.8181818181819,2019-06-10
285,808340.0,85.0,02/15/2019,1200000,1970,98122,609.1370558375635,2019-02-15
286,303720.0,160.0,05/12/2019,689000,3350,98122,205.67164179104478,2019-05-12
287,982820.0,635.0,05/23/2019,28077,1570,98122,17.88343949044586,2019-05-23
288,982920.0,470.0,04/23/2019,2900000,3480,98122,833.3333333333334,2019-04-23
289,910300.0,550.0,01/29/2019,1200000,2540,98122,472.4409448818898,2019-01-29
290,794830.0,100.0,03/25/2019,850000,1180,98122,720.3389830508474,2019-03-25
291,936360.0,180.0,05/20/2019,965000,2180,98122,442.6605504587156,2019-05-20
292,982820.0,1770.0,06/25/2019,758000,1520,98122,498.6842105263158,2019-06-25
293,722850.0,2281.0,04/12/2019,1140000,1740,98122,655.1724137931035,2019-04-12
294,983930.0,365.0,04/17/2019,558000,1000,98122,558.0,2019-04-17
295,794260.0,1265.0,02/01/2019,677000,1630,98122,415.33742331288346,2019-02-01
296,535020.0,880.0,03/07/2019,450000,1170,98122,384.61538461538464,2019-03-07
297,135530.0,12.0,02/28/2019,784000,1365,98122,574.3589743589744,2019-02-28
298,912610.0,450.0,07/15/2019,615000,920,98122,668.4782608695652,2019-07-15
299,722850.0,2525.0,04/23/2019,721000,1650,98122,436.969696969697,2019-04-23
300,381440.0,20.0,05/29/2019,750000,1470,98122,510.2040816326531,2019-05-29
301,721740.0,249.0,02/15/2019,745000,1480,98122,503.3783783783784,2019-02-15
302,723460.0,779.0,03/20/2019,930000,1840,98122,505.4347826086956,2019-03-20
303,936360.0,10.0,01/29/2019,1150000,2610,98122,440.6130268199234,2019-01-29
304,760.0,54.0,02/19/2019,905000,1550,98122,583.8709677419355,2019-02-19
305,632100.0,75.0,03/26/2019,815000,1460,98122,558.2191780821918,2019-03-26
306,880490.0,535.0,05/19/2019,750000,1800,98122,416.6666666666667,2019-05-19
307,600300.0,794.0,01/09/2019,850000,1390,98122,611.5107913669065,2019-01-09
308,982820.0,470.0,04/24/2019,785000,1810,98122,433.70165745856355,2019-04-24
309,277910.0,20.0,01/03/2019,545000,1650,98122,330.3030303030303,2019-01-03
310,981970.0,40.0,06/05/2019,1950000,3260,98122,598.1595092024539,2019-06-05
311,318660.0,625.0,05/09/2019,1440000,2690,98115,535.3159851301115,2019-05-09
312,342604.0,9130.0,03/12/2019,720000,1740,98115,413.7931034482759,2019-03-12
313,510140.0,2610.0,06/24/2019,799950,1450,98115,551.6896551724138,2019-06-24
314,954720.0,4850.0,02/19/2019,825000,1570,98115,525.4777070063694,2019-02-19
315,156610.0,236.0,05/16/2019,585000,880,98115,664.7727272727273,2019-05-16
316,954720.0,5140.0,07/03/2019,900000,2120,98115,424.52830188679246,2019-07-03
317,407320.0,60.0,06/05/2019,1495000,3140,98115,476.11464968152865,2019-06-05
318,179800.0,25.0,02/18/2019,809500,1050,98115,770.952380952381,2019-02-18
319,527320.0,65.0,02/27/2019,1035000,1720,98115,601.7441860465116,2019-02-27
320,510140.0,5016.0,06/04/2019,485000,1240,98115,391.1290322580645,2019-06-04
321,893810.0,80.0,02/12/2019,1120000,810,98115,1382.716049382716,2019-02-12
322,892660.0,175.0,03/05/2019,1745000,1380,98115,1264.4927536231885,2019-03-05
323,382070.0,100.0,04/24/2019,704500,1150,98115,612.6086956521739,2019-04-24
